coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,rain_1h,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,wind_gust,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,message
80.2785,13.0878,803.0,Clouds,broken clouds,04d,stations,304.94,311.94,304.82,305.37,1005.0,72.0,1005.0,1004.0,6000.0,3.6,260.0,,75.0,1727334685.0,2.0,2093935.0,IN,1727310479.0,1727353941.0,19800.0,1264527.0,Chennai,200,,,,,,
-87.65,41.85,800.0,Clear,clear sky,01n,stations,289.07,288.91,288.17,289.35,1015.0,84.0,1015.0,994.0,10000.0,0.0,0.0,,0.0,1727334431.0,2.0,2075214.0,US,1727350959.0,1727394047.0,-18000.0,4887398.0,Chicago,200,,,,,,
28.8575,47.0056,803.0,Clouds,broken clouds,04d,stations,294.22,294.78,292.39,294.22,1017.0,92.0,1017.0,1002.0,10000.0,3.09,170.0,,75.0,1727335132.0,2.0,2002036.0,MD,1727323010.0,1727366085.0,10800.0,618426.0,Chișinău,200,,,,,,
91.5,22.9167,804.0,Clouds,overcast clouds,04d,stations,302.86,308.91,302.86,302.86,1008.0,76.0,1008.0,1006.0,10000.0,6.17,174.0,,91.0,1727335132.0,,,BD,1727307834.0,1727351201.0,21600.0,1337200.0,Chittagong,200,7.74,,,,,
106.5528,29.5628,800.0,Clear,clear sky,01d,stations,308.83,312.0,308.83,309.33,1007.0,41.0,1007.0,973.0,10000.0,4.0,180.0,,0.0,1727335132.0,2.0,2032683.0,CN,1727304253.0,1727347559.0,28800.0,1814906.0,Chongqing,200,,,,,,
79.8478,6.9319,804.0,Clouds,overcast clouds,04d,stations,301.66,306.38,301.66,301.66,1008.0,79.0,1008.0,1007.0,10000.0,5.23,249.0,,100.0,1727335132.0,,,LK,1727310551.0,1727354075.0,19800.0,1248991.0,Colombo,200,6.36,,,,,
-13.6773,9.538,501.0,Rain,moderate rain,10d,stations,297.46,298.32,297.46,297.46,1014.0,91.0,1014.0,1013.0,10000.0,2.06,193.0,1.68,100.0,1727335132.0,,,GN,1727333009.0,1727376498.0,0.0,2422465.0,Conakry,200,3.01,,,,,
12.5655,55.6759,501.0,Rain,moderate rain,10d,stations,286.82,286.72,286.56,287.34,995.0,95.0,995.0,993.0,5000.0,6.17,90.0,3.76,100.0,1727335132.0,2.0,2035645.0,DK,1727326994.0,1727369920.0,7200.0,2618425.0,Copenhagen,200,,,,,,
-64.1811,-31.4135,800.0,Clear,clear sky,01n,stations,285.28,283.91,284.62,285.79,1025.0,52.0,1025.0,967.0,10000.0,3.6,220.0,,0.0,1727335132.0,2.0,2036678.0,AR,1727344821.0,1727388922.0,-10800.0,3860259.0,Córdoba,200,,,,,,
-49.2908,-25.504,741.0,Fog,fog,50n,stations,289.57,289.77,289.1,290.47,1012.0,96.0,1012.0,912.0,600.0,2.06,110.0,,100.0,1727335133.0,2.0,2073418.0,BR,1727341311.0,1727385287.0,-10800.0,6322752.0,Curitiba,200,,,,,,
128.55,35.8,500.0,Rain,light rain,10d,stations,301.62,301.94,301.62,301.62,1012.0,48.0,1012.0,989.0,10000.0,1.54,270.0,0.16,75.0,1727335133.0,1.0,8124.0,KR,1727299002.0,1727342254.0,32400.0,1835327.0,Daegu,200,,,,,,
127.4167,36.3333,802.0,Clouds,scattered clouds,03d,stations,298.22,298.74,298.22,298.22,1012.0,75.0,1012.0,988.0,10000.0,2.62,269.0,,36.0,1727335133.0,,,KR,1727299277.0,1727342523.0,32400.0,1835224.0,Daejeon,200,3.54,,,,,
-17.4441,14.6937,501.0,Rain,moderate rain,10d,stations,298.59,299.51,298.59,298.59,1012.0,89.0,1012.0,1012.0,10000.0,8.02,122.0,2.06,100.0,1727335133.0,,,SN,1727333941.0,1727377374.0,0.0,2253354.0,Dakar,200,9.59,,,,,
-96.7836,32.7668,800.0,Clear,clear sky,01n,stations,291.9,291.76,290.99,293.97,1013.0,74.0,1013.0,995.0,10000.0,1.54,30.0,,0.0,1727334845.0,2.0,2087051.0,US,1727353091.0,1727396298.0,-18000.0,4684904.0,Dallas,200,,,,,,
36.2913,33.5102,800.0,Clear,clear sky,01d,stations,298.57,298.11,298.57,298.57,1013.0,36.0,1013.0,929.0,10000.0,1.48,121.0,,0.0,1727335133.0,1.0,7605.0,SY,1727321143.0,1727364386.0,10800.0,170654.0,Damascus,200,1.16,,,,,
39.2695,-6.8235,804.0,Clouds,overcast clouds,04d,stations,301.54,303.19,301.54,301.54,1017.0,60.0,1017.0,1014.0,10000.0,3.32,95.0,,87.0,1727335133.0,,,TZ,1727320210.0,1727363890.0,10800.0,160263.0,Dar es Salaam,200,3.99,,,,,
